City,Restaurant,Date,Weekly_Sales,IsHoliday
1,1,05-02-10,24924.5,FALSE
1,1,12-02-10,46039.49,TRUE
1,1,19-02-10,41595.55,FALSE
1,1,26-02-10,19403.54,FALSE
1,1,05-03-10,21827.9,FALSE
1,1,12-03-10,21043.39,FALSE
1,1,19-03-10,22136.64,FALSE
1,1,26-03-10,26229.21,FALSE
1,1,02-04-10,57258.43,FALSE
1,1,09-04-10,42960.91,FALSE
1,1,16-04-10,17596.96,FALSE
1,1,23-04-10,16145.35,FALSE
1,1,30-04-10,16555.11,FALSE
1,1,07-05-10,17413.94,FALSE
1,1,14-05-10,18926.74,FALSE
1,1,21-05-10,14773.04,FALSE
1,1,28-05-10,15580.43,FALSE
1,1,04-06-10,17558.09,FALSE
1,1,11-06-10,16637.62,FALSE
1,1,18-06-10,16216.27,FALSE
1,1,25-06-10,16328.72,FALSE
1,1,02-07-10,16333.14,FALSE
1,1,09-07-10,17688.76,FALSE
1,1,16-07-10,17150.84,FALSE
1,1,23-07-10,15360.45,FALSE
1,1,30-07-10,15381.82,FALSE
1,1,06-08-10,17508.41,FALSE
1,1,13-08-10,15536.4,FALSE
1,1,20-08-10,15740.13,FALSE
1,1,27-08-10,15793.87,FALSE
1,1,03-09-10,16241.78,FALSE
1,1,10-09-10,18194.74,TRUE
1,1,17-09-10,19354.23,FALSE
1,1,24-09-10,18122.52,FALSE
1,1,01-10-10,20094.19,FALSE
1,1,08-10-10,23388.03,FALSE
1,1,15-10-10,26978.34,FALSE
1,1,22-10-10,25543.04,FALSE
1,1,29-10-10,38640.93,FALSE
1,1,05-11-10,34238.88,FALSE
1,1,12-11-10,19549.39,FALSE
1,1,19-11-10,19552.84,FALSE
1,1,26-11-10,18820.29,TRUE
1,1,03-12-10,22517.56,FALSE
1,1,10-12-10,31497.65,FALSE
1,1,17-12-10,44912.86,FALSE
1,1,24-12-10,55931.23,FALSE
1,1,31-12-10,19124.58,TRUE
1,1,07-01-11,15984.24,FALSE
1,1,14-01-11,17359.7,FALSE
1,1,21-01-11,17341.47,FALSE
1,1,28-01-11,18461.18,FALSE
1,1,04-02-11,21665.76,FALSE
1,1,11-02-11,37887.17,TRUE
1,1,18-02-11,46845.87,FALSE
1,1,25-02-11,19363.83,FALSE
1,1,04-03-11,20327.61,FALSE
1,1,11-03-11,21280.4,FALSE
1,1,18-03-11,20334.23,FALSE
1,1,25-03-11,20881.1,FALSE
1,1,01-04-11,20398.09,FALSE
1,1,08-04-11,23873.79,FALSE
1,1,15-04-11,28762.37,FALSE
1,1,22-04-11,50510.31,FALSE
1,1,29-04-11,41512.39,FALSE
1,1,06-05-11,20138.19,FALSE
1,1,13-05-11,17235.15,FALSE
1,1,20-05-11,15136.78,FALSE
1,1,27-05-11,15741.6,FALSE
1,1,03-06-11,16434.15,FALSE
1,1,10-06-11,15883.52,FALSE
1,1,17-06-11,14978.09,FALSE
1,1,24-06-11,15682.81,FALSE
1,1,01-07-11,15363.5,FALSE
1,1,08-07-11,16148.87,FALSE
1,1,15-07-11,15654.85,FALSE
1,1,22-07-11,15766.6,FALSE
1,1,29-07-11,15922.41,FALSE
1,1,05-08-11,15295.55,FALSE
1,1,12-08-11,14539.79,FALSE
1,1,19-08-11,14689.24,FALSE
1,1,26-08-11,14537.37,FALSE
1,1,02-09-11,15277.27,FALSE
1,1,09-09-11,17746.68,TRUE
1,1,16-09-11,18535.48,FALSE
1,1,23-09-11,17859.3,FALSE
1,1,30-09-11,18337.68,FALSE
1,1,07-10-11,20797.58,FALSE
1,1,14-10-11,23077.55,FALSE
1,1,21-10-11,23351.8,FALSE
1,1,28-10-11,31579.9,FALSE
1,1,04-11-11,39886.06,FALSE
1,1,11-11-11,18689.54,FALSE
1,1,18-11-11,19050.66,FALSE
1,1,25-11-11,20911.25,TRUE
1,1,02-12-11,25293.49,FALSE
1,1,09-12-11,33305.92,FALSE
1,1,16-12-11,45773.03,FALSE
1,1,23-12-11,46788.75,FALSE
1,1,30-12-11,23350.88,TRUE
1,2,05-02-10,50605.27,FALSE
1,2,12-02-10,44682.74,TRUE
1,2,19-02-10,47928.89,FALSE
1,2,26-02-10,44292.87,FALSE
1,2,05-03-10,48397.98,FALSE
1,2,12-03-10,43751.94,FALSE
1,2,19-03-10,43615.49,FALSE
1,2,26-03-10,41892.55,FALSE
1,2,02-04-10,47450.5,FALSE
1,2,09-04-10,46549.73,FALSE
1,2,16-04-10,45025.02,FALSE
1,2,23-04-10,44418.11,FALSE
1,2,30-04-10,45971.3,FALSE
1,2,07-05-10,47903.01,FALSE
